Store_ID,Suburb,Street,Postcode,Lat,Lon,Type
504060,Bondi Junction NSW,Shops T45-50/71 Spring St,2022,-33.89282,151.24874,Store
504110,Dee Why NSW,15-19 Pacific Parade,2099,-33.7550015,151.2847827,Store
504062,Liverpool NSW,165-191 Macquarie Street,2170,-33.92158,150.92328,Store
504059,Bass Hill NSW,753 Hume Highway,2197,-33.90065,150.9929,Store
504144,Kirrawee NSW,580 Princes Highway,2232,-34.03223188,151.0728591,Store
504064,Drummoyne NSW,19A Roseby Street,2047,-33.85563,151.16273,Store
504066,Broadway NSW,1 Bay Street,2007,-33.88336,151.194,Store
504061,Ashfield NSW,260A Liverpool Road,2131,-33.8894205,151.124145,Store
504095,Rhodes NSW,1 Rider Boulevarde,2138,-33.83524332,151.0855604,Store
504108,Frenchs Forest NSW,Cnr Forestway & Warringah R,2086,-33.7498612,151.223934,Store
504086,Merrylands NSW,191-201 Pitt Street,2160,-33.834385,150.989266,Store
504098,Gladesville NSW,413-417 Victoria Road,2111,-33.82349,151.124,Store
504063,Rockdale NSW,1 Rockdale Plaza Drive,2216,-33.95773,151.1416,Store
504071,Edmondson Park NSW,1952-1982 Camden Valley Way,2174,-33.9540138,150.8567983,Store
504065,Campbelltown NSW,271 Queen Street,2560,-34.06873,150.8104,Store
504075,Warilla NSW,43-57 Shellharbour Road,2528,-34.54688934,150.8628121,Store
504083,Westleigh NSW,Cnr Duffy Ave & Eucalyptus,2120,-33.719716,151.0689406,Store
504118,Narellan NSW,304-306 Camden Valley Way,2567,-34.0422764,150.7336158,Store
504068,Lidcombe NSW,92 Parramatta Road,2141,-33.849604,151.049566,Store
504080,Galston NSW,346 Galston Road,2159,-33.652563,151.046464,Store
504076,Majura Park ACT,18-26 Spitfire Avenue,2609,-35.299315,149.190925,Store
504105,Hillsdale NSW,238-262 Bunnerong Road,2036,-33.95211375,151.2309507,Store
504109,Belrose NSW,56-58 Glen Street,2085,-33.73920411,151.2100482,Store
504067,Miller NSW,90 Cartwright Avenue,2168,-33.918748,150.883818,Store
504111,Warriewood NSW,Jackson Road,2102,-33.69583,151.29559,Store
504077,Fairfield NSW,8-36 Station Street,2165,-33.8676951,150.9527032,Store
504070,Leeton NSW,Acacia Avenue,2705,-34.5517208,146.3976595,Store
504079,Griffith NSW,4 -6 Oakes Road,2680,-34.2968404,146.0501614,Store
504148,Emerald Hills NSW,5 Emerald Hills Boulevarde,2179,-33.99646941,150.7905697,Store
504115,Campbelltown NSW,200 Gilchrist Drive,2560,-34.07613943,150.7984427,Store
504069,Eastgardens NSW,152 Bunnerong Road,2036,-33.9446308,151.2244956,Store
504180,Corrimal NSW,Cnr Russell & Underwood Sts,2518,-34.37135337,150.8959293,Store
504184,Amaroo ACT,12 Pioneer Street,2914,-35.1651648,149.1325023,Store
504073,Darlinghurst NSW,Oxford St & Pelican St,2010,-33.87888233,151.2134586,Store
504147,Merimbula NSW,105-107 Main Street,2548,-36.88637861,149.9099654,Store
